Name,Score,Average Score,% of Total Score,Wins, Win-rate (%)
Whiteboy,9358,93.58,21.2503,59,59
21 Jump Street,8842,88.42,20.0786,11,11
24 Jump Street,8671,86.71,19.6903,37,37
Sanjin's lover,8669,86.69,19.6857,33,33
22 Jump Street,8497,84.97,19.2951,42,42
