Name,Score,Average Score,% of Total Score,Wins, Win-rate (%)
Whiteboy,94319097,94.3191,21.0113,544088,54.4088
21 Jump Street,90355174,90.3552,20.1283,114353,11.4353
24 Jump Street,90340621,90.3406,20.125,437146,43.7146
22 Jump Street,88176270,88.1763,19.6429,469678,46.9678
Sanjin's lover,85705583,85.7056,19.0925,288479,28.8479
