Name,Score,Average Score,% of Total Score,Wins, Win-rate (%)
Whiteboy,93873,93.873,20.8588,518,51.8
24 Jump Street,91399,91.399,20.3091,450,45
21 Jump Street,90572,90.572,20.1253,111,11.1
22 Jump Street,89006,89.006,19.7774,480,48
Sanjin's lover,85190,85.19,18.9294,290,29
