Name,Score,Average Score,% of Total Score,Wins, Win-rate (%)
Whiteboy,20263663,94.3624,21.0216,117202,54.5778
21 Jump Street,19402270,90.3511,20.128,24561,11.4374
24 Jump Street,19397488,90.3288,20.123,93831,43.6946
22 Jump Street,18925086,88.129,19.6329,100775,46.9282
Sanjin's lover,18406131,85.7124,19.0946,61944,28.8456
